"Date","USO"
2007-01-03,-0.0426355830478908
2007-01-04,-0.0406883181907562
2007-01-05,0.00928472271122005
2007-01-08,-0.0071085090065437
2007-01-09,-0.00400090528528507
2007-01-10,-0.0410147577381557
2007-01-11,-0.0224867940368871
2007-01-12,0.00654039242219207
2007-01-16,-0.0289043462042494
2007-01-17,0.0203045916012921
2007-01-18,-0.0223880818094058
2007-01-19,0.0277585010409438
2007-01-22,-0.0132793157776276
2007-01-23,0.0412865419708028
2007-01-24,0.00985752421215658
2007-01-25,-0.0180042957919433
2007-01-26,0.022310558869008
2007-01-29,-0.0283059210956335
2007-01-30,0.0531465409573817
2007-01-31,0.0185811018036084
2007-02-01,-0.00829191507910787
2007-02-02,0.0313545150501673
2007-02-05,-0.00486424807458463
2007-02-06,0.00224034632343573
2007-02-07,-0.0195082101099007
2007-02-08,0.0310880829015545
2007-02-09,0.00482416080402004
2007-02-12,-0.0324065400117407
2007-02-13,0.020467273526303
2007-02-14,-0.018435980177553
2007-02-15,-0.00206404536503524
2007-02-16,0.0206825241233723
2007-02-20,-0.0137791292311704
2007-02-21,0.0244504427553089
2007-02-22,0.00942641377002795
2007-02-23,0.00258289280417667
2007-02-26,0.00871983766785256
2007-02-27,-0.0186640660642803
2007-02-28,0.0246246041116196
2007-03-01,0.00117237202032028
2007-03-02,-0.00448875860699605
2007-03-05,-0.0272495403744184
2007-03-06,0.0141072352701983
2007-03-07,0.0192766494435612
2007-03-08,0
2007-03-09,-0.0230064335541736
2007-03-12,-0.0151666929721274
2007-03-13,-0.00830798412595679
2007-03-14,0.00408663678150067
2007-03-15,-0.00956453010916836
2007-03-16,-0.00513663468817072
2007-03-19,0.00578279660399827
2007-03-20,-0.00492817238340504
2007-03-21,0.00701609589385255
2007-03-22,0.0282787095958752
2007-03-23,0.00777202072538863
2007-03-26,0.011864702392723
2007-03-27,0.000586339675057168
2007-03-28,0.0156249801635746
2007-03-29,0.0311538269230769
2007-03-30,-0.00503545328301858
2007-04-02,0.00393632629564489
2007-04-03,-0.0205377516703182
2007-04-04,-0.00247802139683617
2007-04-05,-0.00611511537874576
2007-04-09,-0.0319169402775213
2007-04-10,0.00516391281683859
2007-04-11,-0.00296388059743358
2007-04-12,0.023583095988567
2007-04-13,-0.00251697957339858
2007-04-16,-0.00621116071428574
2007-04-17,-0.0177734371528626
2007-04-18,-0.00298274004806631
2007-04-19,-0.0183485843308453
2007-04-20,0.0168630228187114
2007-04-23,0.0233766638037296
2007-04-24,-0.0162046463060397
2007-04-25,0.0184560630771198
2007-04-26,-0.00740454014029623
2007-04-27,0.0176678645007433
2007-04-30,-0.0115740354938273
2007-05-01,-0.0171741015935167
2007-05-02,-0.0152899321824873
2007-05-03,-0.00625128050010093
2007-05-04,-0.0198863640399018
2007-05-07,-0.00496890279438722
2007-05-08,0.0120682061575488
2007-05-09,-0.012952323457079
2007-05-10,0.00291614259179918
2007-05-11,0.0087226995338443
2007-05-14,-0.000205867819641714
2007-05-15,0.00885504512242496
2007-05-16,-0.00938973221515693
2007-05-17,0.0335874929649185
2007-05-18,-0.00119621212121201
2007-05-21,0.0143712979788941
2007-05-22,-0.0177096025186935
2007-05-23,0.00500801302115428
2007-05-24,-0.02471592683739
